"SYMBOL 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","PRICE 
","QTY 
","AVERAGE PRICE 
","TOTAL VOLUME 
","TOTAL TURNOVER 
 (₹ Crores)"
"SPRL","176.65","800","-","-","-","-","-","-","-","-","-","-","176.65","800","0.01"
"TIJARIA","10.57","2,400","10.58","15","10.57","4,623","10.39","1,612","10.55","2","10.58","2,676","10.54","11,328","0.01"
"TVVISION","19.30","1,015","19.30","173","19.30","1,274","19.30","10","19.30","1,200","19.30","1,000","19.30","4,672","0.01"
"ORIENTALTL","11.12","1,514","11.11","500","11.11","3,458","11.11","438","11.11","1,441","11.11","142","11.11","7,493","0.01"
"SABEVENTS","15.08","571","15.08","164","15.06","658","15.06","2,510","15.05","59","15.05","20","15.06","3,982","0.01"
"TREEHOUSE","-","-","-","-","17.00","939","17.00","100","17.00","60","17.10","2,210","17.06","3,309","0.01"
"DCMFINSERV","7.56","402","7.56","2,139","7.50","185","7.41","139","7.40","1,500","7.41","805","7.48","5,170","-"
"MASKINVEST","187.39","27","187.39","86","187.39","4","187.39","13","187.39","20","187.39","15","187.39","165","-"
"GLFL","7.35","10","7.35","135","7.35","226","-","-","7.35","50","7.35","216","7.35","637","-"
"ZENITHEXPO","316.00","8","-","-","-","-","310.25","5","-","-","-","-","313.78","13","-"
"AISL","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PATTECH","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
